set,instance,n,capacity,best_known,cost,dev_pct,runtime_s,runtime_total_s,iters,routes,restarts_used,best_seed,time_limit_used,path
E,E-n30-k3,30,4500,534,505.0110791455376,-5.428636864131542,7.176015853881836,7.176015853881836,1521,4,1,100,10.0,data/instances/E/E-n30-k3.vrp
P,P-n55-k15,55,70,989,954.0632910482564,-3.5325287109953125,10.000220775604248,10.000220775604248,2022,16,1,100,10.0,data/instances/P/P-n55-k15.vrp
P,P-n22-k8,22,3000,603,588.7935242586068,-2.35596612626753,4.073892116546631,4.073892116546631,1208,9,1,100,10.0,data/instances/P/P-n22-k8.vrp
E,E-n23-k3,23,4500,569,568.5625010705218,-0.0768890912967026,4.880885362625122,4.880885362625122,1206,3,1,100,10.0,data/instances/E/E-n23-k3.vrp
M,M-n101-k10,101,200,820,819.5575441874689,-0.0539580259184243,11.833816766738892,120.96513748168944,1254,10,10,103,12.12,data/instances/M/M-n101-k10.vrp
E,E-n13-k4,13,6000,247,247.0,0.0,4.368693113327026,4.368693113327026,1211,4,1,100,10.0,data/instances/E/E-n13-k4.vrp
E,E-n22-k4,22,6000,375,375.2797871480125,0.0746099061366597,5.494145154953003,5.494145154953003,1426,4,1,100,10.0,data/instances/E/E-n22-k4.vrp
P,P-n16-k8,16,35,450,451.335080208618,0.2966844908039926,5.868675947189331,5.868675947189331,1913,8,1,100,10.0,data/instances/P/P-n16-k8.vrp
P,P-n19-k2,19,160,212,212.65690418589227,0.309860465043525,5.324260950088501,5.324260950088501,1474,2,1,100,10.0,data/instances/P/P-n19-k2.vrp
E,E-n33-k4,33,8000,835,837.6715519725763,0.3199463440211081,6.727867841720581,6.727867841720581,1623,4,1,100,10.0,data/instances/E/E-n33-k4.vrp
