max_iters,no_improve,time_limit,tabu_tenure,neighbor_samples,w_2opt,mean_dev_pct,mean_time_s
6000,1200,10.0,30,900,0.15,1.4535591568563802,7.5054991245269775
3000,600,10.0,30,900,0.15,1.7718047151090324,4.693592190742493
6000,1200,10.0,30,500,0.15,1.8855399607540726,5.4697531938552855
6000,1200,10.0,45,500,0.15,1.9307515892767122,5.6600239992141725
6000,1200,10.0,10,900,0.15,1.9714430932087907,7.2382052659988405
6000,1200,10.0,45,900,0.15,2.0528788915564267,8.666534733772277
3000,600,10.0,10,900,0.15,2.0769839903064162,4.944803833961487
3000,600,10.0,30,500,0.15,2.0939930306569594,3.144747185707092
6000,1200,10.0,30,250,0.15,2.140733032872472,2.7505335807800293
3000,600,10.0,45,900,0.15,2.15917545484726,5.154009866714477
3000,600,10.0,20,900,0.15,2.2765429683799003,5.048312783241272
6000,1200,10.0,20,900,0.15,2.2765429683799003,8.13246967792511
6000,1200,10.0,10,250,0.15,2.354406221375844,4.091058135032654
6000,1200,10.0,10,500,0.15,2.426440448700407,5.455602169036865
3000,600,10.0,10,500,0.15,2.570233944619622,3.119166445732117
6000,1200,10.0,20,250,0.15,2.5775942612081573,2.908733868598938
3000,600,10.0,10,250,0.15,2.7948515406200882,1.7491866827011109
3000,600,10.0,20,500,0.15,2.795160819831035,2.954167914390564
6000,1200,10.0,20,500,0.15,2.795160819831035,4.545610141754151
3000,600,10.0,45,500,0.15,3.009270338591471,2.991196131706238
3000,600,10.0,20,250,0.15,3.028184303164654,1.4112645864486695
6000,1200,10.0,45,250,0.15,3.4709388713085376,2.18513879776001
3000,600,10.0,45,250,0.15,3.5798888529832515,1.159222173690796
3000,600,10.0,30,250,0.15,3.8342817311175756,1.3380105018615722
